timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597441506115,90,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,87,0,49
1597441506209,29,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,351,556,1,1,http://185.233.0.230:3000/api/orders,28,0,0
1597441543634,46,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,46,0,22
1597441543682,27,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,352,556,1,1,http://185.233.0.230:3000/api/orders,27,0,0
1597441579659,47,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,47,0,23
1597441579709,28,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,352,556,1,1,http://185.233.0.230:3000/api/orders,27,0,0
1597441615687,47,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,46,0,23
1597441615736,32,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,352,556,1,1,http://185.233.0.230:3000/api/orders,31,0,0
1597441651709,46,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,46,0,22
1597441651763,27,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,352,556,1,1,http://185.233.0.230:3000/api/orders,27,0,0
1597441687738,46,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,46,0,23
1597441687786,26,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,352,556,1,1,http://185.233.0.230:3000/api/orders,26,0,0
1597441723765,46,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,46,0,23
1597441723813,27,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,352,556,1,1,http://185.233.0.230:3000/api/orders,27,0,0
1597441759791,45,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,45,0,23
1597441759838,27,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,352,556,1,1,http://185.233.0.230:3000/api/orders,26,0,0
1597441795815,45,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,45,0,23
1597441795863,26,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,352,556,1,1,http://185.233.0.230:3000/api/orders,26,0,0
1597441831840,46,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,45,0,22
1597441831890,27,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,352,556,1,1,http://185.233.0.230:3000/api/orders,27,0,0
1597441867865,47,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,47,0,24
1597441867914,27,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,352,556,1,1,http://185.233.0.230:3000/api/orders,26,0,0
1597441903890,47,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,47,0,21
1597441903938,31,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,352,556,1,1,http://185.233.0.230:3000/api/orders,31,0,0
1597441939909,46,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,45,0,23
1597441939957,27,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,352,556,1,1,http://185.233.0.230:3000/api/orders,27,0,0
1597441975932,46,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,46,0,23
1597441975980,27,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,352,556,1,1,http://185.233.0.230:3000/api/orders,26,0,0
1597442011957,48,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,48,0,25
1597442012010,27,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,352,556,1,1,http://185.233.0.230:3000/api/orders,26,0,0
1597442047987,49,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,49,0,26
1597442048038,26,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,352,556,1,1,http://185.233.0.230:3000/api/orders,26,0,0
1597442084014,44,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,44,0,22
1597442084059,26,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,351,556,1,1,http://185.233.0.230:3000/api/orders,26,0,0
1597442120037,46,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,46,0,22
1597442120085,28,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,351,556,1,1,http://185.233.0.230:3000/api/orders,28,0,0
1597442156060,50,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,50,0,27
1597442156112,27,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,351,556,1,1,http://185.233.0.230:3000/api/orders,27,0,0
1597442192090,44,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,44,0,22
1597442192139,26,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,351,556,1,1,http://185.233.0.230:3000/api/orders,26,0,0
1597442228118,45,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,45,0,24
1597442228164,30,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,351,556,1,1,http://185.233.0.230:3000/api/orders,30,0,0
1597442264138,51,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,51,0,27
1597442264191,27,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,351,556,1,1,http://185.233.0.230:3000/api/orders,27,0,0
1597442300168,46,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,46,0,23
1597442300216,26,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,351,556,1,1,http://185.233.0.230:3000/api/orders,26,0,0
1597442336194,44,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,44,0,22
1597442336240,27,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,351,556,1,1,http://185.233.0.230:3000/api/orders,27,0,0
1597442372216,44,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,44,0,22
1597442372264,25,Make an order,200,OK,Thread Group [Scenario 1] 1-1,text,true,,351,556,1,1,http://185.233.0.230:3000/api/orders,25,0,0
1597442408240,46,Open Main Page,200,OK,Thread Group [Scenario 1] 1-1,text,true,,2051,155,1,1,http://185.233.0.230:3000/,46,0,23
