RUN	sushiShopLoad.sushiShopLoadSimulation	sushishoploadsimulation	1599839557089	 	3.3.1
USER	scenarioThree	28	START	1599839562824	1599839562824
REQUEST	28		openMainPage	1599839562826	1599839562931	OK	 
REQUEST	28		makeAnOrder	1599839562935	1599839562989	OK	 
USER	scenarioThree	28	END	1599839562824	1599839562993
USER	scenarioThree	29	START	1599839562994	1599839562994
REQUEST	29		openMainPage	1599839562995	1599839563098	OK	 
REQUEST	29		makeAnOrder	1599839563102	1599839563156	OK	 
USER	scenarioThree	29	END	1599839562994	1599839563159
USER	scenarioThree	30	START	1599839563160	1599839563160
REQUEST	30		openMainPage	1599839563162	1599839563262	OK	 
REQUEST	30		makeAnOrder	1599839563265	1599839563318	OK	 
USER	scenarioThree	30	END	1599839563160	1599839563322
USER	scenarioThree	31	START	1599839563323	1599839563323
REQUEST	31		openMainPage	1599839563325	1599839563425	OK	 
REQUEST	31		makeAnOrder	1599839563427	1599839563481	OK	 
USER	scenarioThree	31	END	1599839563323	1599839563485
USER	scenarioThree	32	START	1599839563486	1599839563486
REQUEST	32		openMainPage	1599839563488	1599839563590	OK	 
REQUEST	32		makeAnOrder	1599839563593	1599839563649	OK	 
USER	scenarioThree	32	END	1599839563486	1599839563654
USER	scenarioThree	33	START	1599839563654	1599839563654
REQUEST	33		openMainPage	1599839563656	1599839563757	OK	 
REQUEST	33		makeAnOrder	1599839563760	1599839563817	OK	 
USER	scenarioThree	33	END	1599839563654	1599839563821
USER	scenarioThree	34	START	1599839563822	1599839563822
REQUEST	34		openMainPage	1599839563823	1599839563924	OK	 
REQUEST	34		makeAnOrder	1599839563928	1599839563982	OK	 
USER	scenarioThree	34	END	1599839563822	1599839563985
USER	scenarioThree	35	START	1599839563986	1599839563986
REQUEST	35		openMainPage	1599839563988	1599839564089	OK	 
REQUEST	35		makeAnOrder	1599839564093	1599839564148	OK	 
USER	scenarioThree	35	END	1599839563986	1599839564151
USER	scenarioThree	36	START	1599839564152	1599839564152
REQUEST	36		openMainPage	1599839564153	1599839564254	OK	 
REQUEST	36		makeAnOrder	1599839564257	1599839564311	OK	 
USER	scenarioThree	36	END	1599839564152	1599839564315
USER	scenarioThree	37	START	1599839564315	1599839564315
REQUEST	37		openMainPage	1599839564317	1599839564419	OK	 
REQUEST	37		makeAnOrder	1599839564422	1599839564475	OK	 
USER	scenarioThree	37	END	1599839564315	1599839564479
USER	scenarioThree	38	START	1599839564480	1599839564480
REQUEST	38		openMainPage	1599839564481	1599839564582	OK	 
REQUEST	38		makeAnOrder	1599839564586	1599839564640	OK	 
USER	scenarioThree	38	END	1599839564480	1599839564643
USER	scenarioThree	39	START	1599839564644	1599839564644
REQUEST	39		openMainPage	1599839564646	1599839564754	OK	 
REQUEST	39		makeAnOrder	1599839564756	1599839564810	OK	 
USER	scenarioThree	39	END	1599839564644	1599839564813
USER	scenarioThree	40	START	1599839564814	1599839564814
REQUEST	40		openMainPage	1599839564815	1599839564915	OK	 
REQUEST	40		makeAnOrder	1599839564920	1599839564973	OK	 
USER	scenarioThree	40	END	1599839564814	1599839564977
USER	scenarioThree	41	START	1599839564978	1599839564978
REQUEST	41		openMainPage	1599839564979	1599839565079	OK	 
REQUEST	41		makeAnOrder	1599839565082	1599839565136	OK	 
USER	scenarioThree	41	END	1599839564978	1599839565137
USER	scenarioThree	42	START	1599839565138	1599839565138
REQUEST	42		openMainPage	1599839565138	1599839565238	OK	 
REQUEST	42		makeAnOrder	1599839565241	1599839565295	OK	 
USER	scenarioThree	42	END	1599839565138	1599839565299
USER	scenarioThree	43	START	1599839565299	1599839565299
REQUEST	43		openMainPage	1599839565300	1599839565401	OK	 
REQUEST	43		makeAnOrder	1599839565403	1599839565456	OK	 
