RUN	sushiShopLoad.sushiShopLoadSimulation	sushishoploadsimulation	1599843991701	 	3.3.1
USER	scenarioThree	28	START	1599843997573	1599843997573
REQUEST	28		openMainPage	1599843997574	1599843997675	OK	 
REQUEST	28		makeAnOrder	1599843997679	1599843997733	OK	 
USER	scenarioThree	28	END	1599843997573	1599843997737
USER	scenarioThree	29	START	1599843997738	1599843997738
REQUEST	29		openMainPage	1599843997739	1599843997840	OK	 
REQUEST	29		makeAnOrder	1599843997844	1599843997899	OK	 
USER	scenarioThree	29	END	1599843997738	1599843997903
USER	scenarioThree	30	START	1599843997904	1599843997904
REQUEST	30		openMainPage	1599843997906	1599843998005	OK	 
REQUEST	30		makeAnOrder	1599843998009	1599843998062	OK	 
USER	scenarioThree	30	END	1599843997904	1599843998066
USER	scenarioThree	31	START	1599843998067	1599843998067
REQUEST	31		openMainPage	1599843998069	1599843998171	OK	 
REQUEST	31		makeAnOrder	1599843998175	1599843998238	OK	 
USER	scenarioThree	31	END	1599843998067	1599843998241
USER	scenarioThree	32	START	1599843998242	1599843998242
REQUEST	32		openMainPage	1599843998244	1599843998345	OK	 
REQUEST	32		makeAnOrder	1599843998349	1599843998402	OK	 
USER	scenarioThree	32	END	1599843998242	1599843998406
USER	scenarioThree	33	START	1599843998407	1599843998407
REQUEST	33		openMainPage	1599843998408	1599843998512	OK	 
REQUEST	33		makeAnOrder	1599843998515	1599843998569	OK	 
USER	scenarioThree	33	END	1599843998407	1599843998572
USER	scenarioThree	34	START	1599843998573	1599843998573
REQUEST	34		openMainPage	1599843998575	1599843998674	OK	 
REQUEST	34		makeAnOrder	1599843998678	1599843998731	OK	 
USER	scenarioThree	34	END	1599843998573	1599843998734
USER	scenarioThree	35	START	1599843998735	1599843998735
REQUEST	35		openMainPage	1599843998737	1599843998837	OK	 
REQUEST	35		makeAnOrder	1599843998841	1599843998895	OK	 
USER	scenarioThree	35	END	1599843998735	1599843998898
USER	scenarioThree	36	START	1599843998899	1599843998899
REQUEST	36		openMainPage	1599843998901	1599843999001	OK	 
REQUEST	36		makeAnOrder	1599843999005	1599843999058	OK	 
USER	scenarioThree	36	END	1599843998899	1599843999061
USER	
