"0",,"general",,,,,,,,"2020-07-27 23:35:28 +0300","date_time"
"1",,"general",,,,,,,,"72341","total_requests"
"2",,"general",,,,,,,,"72341","valid_requests"
"3",,"general",,,,,,,,"0","failed_requests"
"4",,"general",,,,,,,,"2","generation_time"
"5",,"general",,,,,,,,"2","unique_visitors"
"6",,"general",,,,,,,,"6","unique_files"
"7",,"general",,,,,,,,"0","excluded_hits"
"8",,"general",,,,,,,,"0","unique_referrers"
"9",,"general",,,,,,,,"0","unique_not_found"
"10",,"general",,,,,,,,"2","unique_static_files"
"11",,"general",,,,,,,,"0","log_size"
"12",,"general",,,,,,,,"559686416","bandwidth"
"13",,"general",,,,,,,,"STDIN","log_path"
"0",,"visitors","72341","100.00%","2","100.00%","559686416","100.00%",,,"20200719"
"0",,"requests","9054","12.52%","1","50.00%","0","0.00%","GET","HTTP/1.1","/"
"1",,"requests","9053","12.51%","1","50.00%","9112039","1.63%","GET","HTTP/1.1","/Account/Login?ReturnUrl=/"
"2",,"requests","9039","12.49%","1","50.00%","9392561","1.68%","GET","HTTP/1.1","/Account/Register"
"3",,"requests","9039","12.49%","1","50.00%","9653456","1.72%","POST","HTTP/1.1","/Account/Register"
"4",,"requests","9039","12.49%","1","50.00%","0","0.00%","GET","HTTP/1.1","/Account/Logout"
"5",,"requests","9039","12.49%","1","50.00%","9101277","1.63%","GET","HTTP/1.1","/Account/Login"
"0",,"static_requests","9039","12.49%","1","50.00%","232835601","41.60%","GET","HTTP/1.1","/lib/bootstrap/dist/css/bootstrap.css"
"1",,"static_requests","9039","12.49%","1","50.00%","289591482","51.74%","GET","HTTP/1.1","/favicon.ico"
"0",,"hosts","72340","100.00%","1","50.00%","559686416","100.00%",,,"185.233.0.140"
"1",,"hosts","1","0.00%","1","50.00%","0","0.00%",,,"122.228.19.79"
"0",,"os","72340","100.00%","1","50.00%","559686416","100.00%",,,"Windows"
"0","0","os","72340","100.00%","1","50.00%","559686416","100.00%",,,"Windows 10"
"1",,"os","1","0.00%","1","50.00%","0","0.00%",,,"Macintosh"
"0","1","os","1","0.00%","1","50.00%","0","0.00%",,,"OS X 10.11 El Capitan"
"0",,"browsers","72340","100.00%","1","50.00%","559686416","100.00%",,,"MSIE"
"0","0","browsers","72340","100.00%","1","50.00%","559686416","100.00%",,,"MSIE/11.0"
"1",,"browsers","1","0.00%","1","50.00%","0","0.00%",,,"Firefox"
"0","1","browsers","1","0.00%","1","50.00%","0","0.00%",,,"Firefox/47.0"
"0",,"visit_time","72341","100.00%","2","100.00%","559686416","100.00%",,,"18"
"0",,"referring_sites","45195","62.47%","1","50.00%","260982895","46.63%",,,"185.233.0.163"
"0",,"status_codes","54234","74.97%","1","50.00%","559675568","100.00%",,,"2xx Success"
"0","0","status_codes","54234","74.97%","1","50.00%","559675568","100.00%",,,"200 - OK: The request sent by the client was successful"
"1",,"status_codes","18093","25.01%","2","100.00%","0","0.00%",,,"3xx Redirection"
"0","1","status_codes","18093","25.01%","2","100.00%","0","0.00%",,,"302 - Moved Temporarily (redirect)"
"2",,"status_codes","14","0.02%","1","50.00%","10848","0.00%",,,"5xx Server Errors"
"0","2","status_codes","14","0.02%","1","50.00%","10848","0.00%",,,"500 - Internal Server Error"
